6.6,0.17
6.2,0.23
5.7,0.17
7.7,1.27
7.5,0.68
7.1,0.46
6.8,0.18
6.1,0.53
7.8,3.86
7.4,1.55
6.4,0.92
6.2,3.21
4.0,0.67
2.5,0.19
7.4,0.51
7.9,0.8300000000000000
8.4,2.9700000000000000
7.9,1.1
8.3,1.4
4.9,0.41
7.6,0.03
7.5,0.57
7.0,0.06
2.9,0.9
5.5,0.31
5.1,0.38
7.9,0.32
7.3,0.4
5.5,2.3
5.4,0.22000000000000000
7.5,0.24
7.9,0.37
7.9,0.21
6.1,3.42
3.8,1.37
4.3,0.31
4.9,0.03
8.1,0.72
5.0,0.11
6.0,0.08
6.7,0.9
4.0,0.08
8.4,2.41
8.7,2.18
7.5,1.2
7.6,0.46
5.9,0.57
5.5,1.3
7.1,0.12
7.7,0.7
8.9,3.17
8.5,0.89
7.6,0.83
8.0,1.71
7.6,1.0
7.5,0.51
7.5,1.23
7.0,0.25
7.0,0.29
5.1,1.14
8.0,0.55
7.4,0.05
7.0,0.04
5.8,0.02
4.7,0.14
7.0,0.04
9.4,0.7
8.8,0.65
8.4,0.61
9.0,0.39
6.5,0.13
2.8,0.33000000000000000
5.9,0.02
4.5,0.07
5.4,0.19
6.0,0.22
6.5,0.44
7.4,0.01
6.0,0.07
6.0,0.12000000000000000
7.9,0.03
9.3,0.09
8.3,0.37
7.0,0.06
8.2,0.21
8.2,0.06
9.0,0.48
5.0,0.05
6.0,0.1
7.0,1.83
3.3,0.05
6.0,0.34000000000000000
6.8,0.05
7.5,0.20000000000000000
6.7,0.12
8.3,1.33
4.0,0.07
4.4,0.07
7.0,0.99
6.9,1.21
8.3,0.19
5.2,0.16
5.2,0.14
8.0,0.47
7.0,0.03
8.7,0.01
6.2,2.1
8.5,0.17
3.7,0.18
7.0,0.04
5.1,0.05
7.5,0.41000000000000000
9.2,0.23
6.5,0.78
8.7,1.3300000000000000
7.4,0.7
6.3,0.19
3.1,0.18
6.3,0.55
7.4,0.16
6.8,0.8500000000000000
6.5,0.09
8.8,0.23
7.1,0.27
